DOE_SCHOOL_CODE	DEEWR_ID	SCHOOL_NAME	LEVEL_OF_ SCHOOLING	SCHOOL_SPECIALITY_TYPE	YEAR_RANGES	PRESCHOOL_INDICATOR	SCHOOL_GENDER	TEACHING_STAFF	NON_TEACHING_STAFF	TOTAL_ENROLMENTS	PHONE	SCHOOL_EMAIL	FAX	LGA	ELECTORATE	FEDERAL_ELECTORATE	ADDRESS	SUBURB	POSTCODE	LATITUDE	LONGITUDE
1545	9281	Cessnock West Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	22	5	371	4990 1637	cessnockw-p.school@det.nsw.edu.au	4991 1523	Cessnock (C)	Cessnock	Hunter	Wollombi & Campbell Sts	Cessnock 	2325	-32.838387	151.344863
1822	9283	Congewai Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	3	8	4998 1366	congewai-p.School@det.nsw.edu.au	4998 1603	Cessnock (C)	Cessnock	Hunter	605 Congewai Road	Congewai	2325	-32.958736	151.273875
1826	9285	Ellalong Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	6	3	116	4998 1360	ellalong-p.school@det.nsw.edu.au	4998 1813	Cessnock (C)	Cessnock	Hunter	Helena Street	Ellalong	2325	-32.914749	151.311974
2267	9287	Kearsley Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	4	5	130	4990 1705	kearsley-p.school@det.nsw.edu.au	4991 1018	Cessnock (C)	Cessnock	Hunter	130 Caledonia Street	Kearsley	2325	-32.857249	151.395921
2315	9288	Kitchener Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	4	3	82	4990 2974	kitchener-p.school@det.nsw.edu.au	4991 1875	Cessnock (C)	Cessnock	Hunter	38 Richmond Street	Kitchener	2325	-32.87782	151.369977
2356	9290	Laguna Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	2	61	4998 8251	laguna-p.School@det.nsw.edu.au	4998 8106	Cessnock (C)	Cessnock	Hunter	3738 The Great North Road	Laguna	2325	-32.992121	151.130526
2555	9292	Millfield Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	3	62	4998 1331	millfield-p.school@det.nsw.edu.au	4998 1719	Cessnock (C)	Cessnock	Hunter	Wollombi Rd	Millfield 	2325	-32.889837	151.250774
2771	9294	Nulkaba Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	19	4	417	4990 1805	nulkaba-p.school@det.nsw.edu.au	4991 1408	Cessnock (C)	Cessnock	Hunter	5 O'Connors Road	Nulkaba	2325	-32.810691	151.34781
2846	9296	Paxton Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	2	56	4998 1278	paxton-p.school@det.nsw.edu.au	4998 1848	Cessnock (C)	Cessnock	Hunter	20 Anderson Ave	Paxton 	2325	-32.900993	151.284621
8108	6420	Cessnock High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	46	16	580.2	4990 1439	cessnock-h.school@det.nsw.edu.au	4991 1815	Cessnock (C)	Cessnock	Hunter	Aberdare St	Cessnock 	2325	-32.842954	151.368528
8574	14958	Mount View High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	66	14	957.4	4990 2566	mountview-h.school@det.nsw.edu.au	4991 1728	Cessnock (C)	Cessnock	Hunter	Mount View Rd	Cessnock West	2325	-32.827955	151.333246
1003	9299	Abermain Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	13	5	228	4930 4210	abermain-p.school@det.nsw.edu.au	4930 4319	Cessnock (C)	Cessnock	Paterson	Goulburn St	Abermain 	2326	-32.80892	151.426499
3431	9301	Weston Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	12	4	187	4937 1318	weston-p.School@det.nsw.edu.au	4936 1210	Cessnock (C)	Cessnock	Paterson	Sixth St	Weston 	2326	-32.809043	151.461023
2855	9305	Pelaw Main Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	13	4	227	4937 1314	pelawmain-p.School@det.nsw.edu.au	4936 1204	Cessnock (C)	Cessnock	Paterson	Abermain St	Pelaw Main 	2327	-32.831923	151.484743
5133	9308	Stanford Merthyr Infants School	Infants School	Comprehensive	Kinder to Year 2	N	Coed	5	4	74	4937 1192	stanmerthi-p.School@det.nsw.edu.au	4936 1178	Cessnock (C)	Cessnock	Paterson	Maitland St	Stanford Merthyr 	2327	-32.823423	151.495438
7422	9304	Kurri Kurri Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	37	10	663	4937 1235	kurrikurri-p.School@det.nsw.edu.au	4936 1128	Cessnock (C)	Cessnock	Paterson	Lang St	Kurri Kurri 	2327	-32.821099	151.478156
8177	6345	Kurri Kurri High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	57	13	834.6	4937 1877	kurrikurri-h.School@det.nsw.edu.au	4937 3773	Cessnock (C)	Cessnock	Paterson	Stanford & Deakin Sts	Kurri Kurri 	2327	-32.810142	151.486294
1749	9309	Denman Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	7	3	183	6547 2491	denman-p.School@det.nsw.edu.au	6547 2603	Muswellbrook (A)	Upper Hunter	Hunter	Paxton St	Denman 	2328	-32.385734	150.686009
2492	9311	Martindale Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	2	16	6547 3502	martindale-p.School@det.nsw.edu.au	6547 3546	Muswellbrook (A)	Upper Hunter	Hunter	670 Martindale Rd	Martindale	2328	-32.458834	150.665723
1527	9312	Cassilis Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	2	13	6376 1009	cassilis-p.School@det.nsw.edu.au	6376 1005	Upper Hunter Shire (A)	Upper Hunter	New England	Coolah Rd	Cassilis	2329	-32.004552	149.978075
2528	9313	Merriwa Central School	Central/Community School	Comprehensive	Kinder to Year 12	N	Coed	23	9	274.9	6548 2119	merriwa-c.school@det.nsw.edu.au	6548 2534	Upper Hunter Shire (A)	Upper Hunter	New England	Bow Street	Merriwa	2329	-32.145113	150.352867
1367	9314	Broke Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	2	57	6579 1040	broke-p.School@det.nsw.edu.au	6579 1242	Singleton (A)	Cessnock	Hunter	Cochrane St	Broke 	2330	-32.744976	151.104334
2231	9315	Jerrys Plains Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	1	36	6576 4018	jerrysplan-p.School@det.nsw.edu.au	6576 4142	Singleton (A)	Upper Hunter	Hunter	Doyle St	Jerrys Plains 	2330	-32.49723	150.905944
2550	9317	Milbrodale Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	2	9	6574 5163	milbrodale-p.School@det.nsw.edu.au	6574 5201	Singleton (A)	Cessnock	Hunter	2615 Putty Road	Milbrodale	2330	-32.696789	151.005819
2647	9318	Mount Pleasant Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	3	53	6577 3129	mtpleasant-p.School@det.nsw.edu.au	6577 3103	Singleton (A)	Upper Hunter	Hunter	Goorangoola Rd	Singleton	2330	-32.408483	151.188781
3070	9323	Singleton Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	29	10	439	6571 2250	singleton-p.School@det.nsw.edu.au	6572 3076	Singleton (A)	Upper Hunter	Hunter	Hunter St	Singleton 	2330	-32.563135	151.171752
4486	9321	Singleton Heights Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	30	12	597	6573 1363	singletonh-p.School@det.nsw.edu.au	6573 1414	Singleton (A)	Upper Hunter	Hunter	Dorsman Drive	Singleton Heights	2330	-32.549203	151.163955
4514	9316	King Street Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	20	3	384	6572 2281	kingstreet-p.school@det.nsw.edu.au	6571 1177	Singleton (A)	Upper Hunter	Hunter	King St	Singleton 	2330	-32.569546	151.175266
8202	9322	Singleton High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	80	21	1198.6	6571 1199	singleton-h.school@det.nsw.edu.au	6572 4889	Singleton (A)	Upper Hunter	Hunter	75-81 York Street	Singleton	2330	-32.569684	151.177593
1974	9329	Sandy Hollow Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	2	39	6547 4521	sandyhollo-p.School@det.nsw.edu.au	6547 4450	Muswellbrook (A)	Upper Hunter	Hunter	1581 Golden Highway	Sandy Hollow	2333	-32.336471	150.569007
2688	9325	Muswellbrook Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	28	5	597	6543 2500	muswellbro-p.School@det.nsw.edu.au	6543 3378	Muswellbrook (A)	Upper Hunter	Hunter	Roger St	Muswellbrook 	2333	-32.25843	150.896369
3876	9327	Muswellbrook South Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	26	7	518	6543 1896	muswellbrs-p.School@det.nsw.edu.au	6543 3475	Muswellbrook (A)	Upper Hunter	Hunter	Maitland St	Muswellbrook 	2333	-32.274182	150.891943
8164	6400	Muswellbrook High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	55	17	750	6543 1033	muswellbro-h.school@det.nsw.edu.au	6543 3927	Muswellbrook (A)	Upper Hunter	Hunter	King St	Muswellbrook 	2333	-32.268737	150.897592
2084	9330	Greta Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	9	3	199	4938 7331	greta-p.School@det.nsw.edu.au	4938 7230	Cessnock (C)	Cessnock	Hunter	2A Wyndham Street	Greta	2334	-32.680083	151.38721
1341	9331	Branxton Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	19	7	359	4938 1214	branxton-p.school@det.nsw.edu.au	4938 1905	Cessnock (C)	Cessnock	Hunter	12 King Street	Branxton	2335	-32.659391	151.350682
2314	9332	Kirkton Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	4	3	56	6574 7152	kirkton-p.school@det.nsw.edu.au	6574 7227	Singleton (A)	Upper Hunter	Hunter	797 Standen Drive	Belford	2335	-32.609773	151.290092
1002	9333	Aberdeen Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	10	5	220	6543 7271	aberdeen-p.School@det.nsw.edu.au	6543 7712	Upper Hunter Shire (A)	Upper Hunter	New England	Segenhoe St	Aberdeen	2336	-32.166098	150.888095
1182	9335	Belltrees Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	2	15	6546 1148	belltrees-p.School@det.nsw.edu.au	6546 1110	Upper Hunter Shire (A)	Upper Hunter	New England	Moonan Flat Rd	Belltrees 	2337	-31.988753	151.129487
1830	9336	Ellerston Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	3	22	6546 5157	ellerston-p.school@det.nsw.edu.au	6546 5106	Upper Hunter Shire (A)	Upper Hunter	New England	School Road	Ellerston	2337	-31.81773	151.304369
7311	9339	Scone Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	29	6	502	6545 1049	scone-p.school@det.nsw.edu.au	6545 3046	Upper Hunter Shire (A)	Upper Hunter	New England	Liverpool St	Scone 	2337	-32.049446	150.863855
8409	6401	Scone High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	37	8	384	6545 1455	scone-h.school@det.nsw.edu.au	6545 3269	Upper Hunter Shire (A)	Upper Hunter	New England	Gundy Rd	Scone 	2337	-32.05813	150.873111
1256	9340	Blandford Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	2	43	6546 6117	blandford-p.School@det.nsw.edu.au	6546 6023	Upper Hunter Shire (A)	Upper Hunter	New England	New England Hwy	Blandford 	2338	-31.778585	150.892725
2686	9341	Murrurundi Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	3	50	6546 6057	murrurundi-p.School@det.nsw.edu.au	6546 6596	Upper Hunter Shire (A)	Upper Hunter	New England	135 Mayne Street	Murrurundi	2338	-31.762783	150.832187
3451	9343	Willow Tree Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	2	41	6747 1371	willowtree-p.School@det.nsw.edu.au	6747 1210	Liverpool Plains (A)	Upper Hunter	New England	2-4 Merriwa Road	Willow Tree	2339	-31.656802	150.729034
1016	9357	Timbumburi Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	5	2	131	6767 0232	timbumburi-p.School@det.nsw.edu.au	6767 0245	Tamworth Regional (A)	Tamworth	New England	542 Kia Ora Lane	Timbumburi 	2340	-31.203781	150.915629
1520	9344	Carroll Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	3	24	6743 1722	carroll-p.School@det.nsw.edu.au	6743 1800	Gunnedah (A)	Tamworth	Parkes	David St	Carroll 	2340	-30.986074	150.447096
1793	9345	Dungowan Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	2	31	6769 4259	dungowan-p.School@det.nsw.edu.au	6769 4342	Tamworth Regional (A)	Tamworth	New England	137 Olgunbil Road	Dungowan	2340	-31.220126	151.13269
2725	9348	Nemingha Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	11	3	192	6760 9225	nemingha-p.School@det.nsw.edu.au	6760 9479	Tamworth Regional (A)	Tamworth	New England	145 Nundle Rd	Nemingha 	2340	-31.126524	151.004156
2781	6438	Nundle Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	4	3	73	6769 3253	nundle-p.School@det.nsw.edu.au	6769 3128	Tamworth Regional (A)	Tamworth	New England	93-97 Jenkins Street	Nundle 	2340	-31.459684	151.127429
3079	9352	Somerton Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	2	12	6769 7520	somerton-p.School@det.nsw.edu.au	6769 7400	Tamworth Regional (A)	Tamworth	New England	Milkmaid St	Somerton 	2340	-30.938432	150.641556
3157	9354	Tamworth Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	41	8	869	6766 2016	tamworth-p.School@det.nsw.edu.au	6766 2438	Tamworth Regional (A)	Tamworth	New England	Napier St	Tamworth 	2340	-31.084712	150.935305
3158	9356	Tamworth West Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	23	7	295	6765 8316	tamworthw-p.School@det.nsw.edu.au	6762 1226	Tamworth Regional (A)	Tamworth	New England	Bridge St	West Tamworth 	2340	-31.09158	150.920563
3428	9358	Westdale Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	32	10	517	6760 7219	westdale-p.School@det.nsw.edu.au	6760 7469	Tamworth Regional (A)	Tamworth	New England	Gunnedah Rd	Westdale 	2340	-31.093714	150.873927
3506	9359	Woolomin Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	1	23	6764 2274	woolomin-p.School@det.nsw.edu.au	6764 2307	Tamworth Regional (A)	Tamworth	New England	Tamworth-Nundle Rd	Woolomin 	2340	-31.30177	151.14807
3690	9350	Oxley Vale Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	17	7	342	6761 8238	oxleyvale-p.school@det.nsw.edu.au	6761 8307	Tamworth Regional (A)	Tamworth	New England	Manilla Rd	Tamworth	2340	-31.058786	150.89498
3882	9355	Tamworth South Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	38	9	693	6765 8426	tamworths-p.School@det.nsw.edu.au	6762 1225	Tamworth Regional (A)	Tamworth	New England	Petra Ave	Tamworth 	2340	-31.105062	150.911701
4437	9347	Hillvue Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	18	8	275	6765 7446	hillvue-p.School@det.nsw.edu.au	6762 1215	Tamworth Regional (A)	Tamworth	New England	Hillvue Rd	Tamworth 	2340	-31.114449	150.9007
5569	16172	Bullimbal School	Schools for Specific Purposes	Comprehensive	Medium / High Support needs	N	Coed	9	9	49	6762 8003	bullimbal-s.School@det.nsw.edu.au	6762 8007	Tamworth Regional (A)	Tamworth	New England	18-36 Degance Street	South Tamworth	2340	-31.075417	150.9209
5580	17885	Parry School	Schools for Specific Purposes	Comprehensive	Behaviour Disorder	N	Coed	4	5	15	6762 1756	parry-s.School@det.nsw.edu.au	6762 1907	Tamworth Regional (A)	Tamworth	New England	18 Degance St Tamworth NSW 2340	NULL	2340	-31.092212	150.916851
8111	9346	Farrer Memorial Agricultural High School	Secondary School	Agricultural	Year 7 to Year 12	N	Boys	47	35	560	6764 8600	farreragri-h.School@det.nsw.edu.au	6764 8648	Tamworth Regional (A)	Tamworth	New England	585 Calala Lane Calala via Tamworth NSW 2340	NULL	2340	-31.138453	150.979996
8139	9353	Tamworth High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	58	20	661.7	6765 7888	tamworth-h.School@det.nsw.edu.au	6762 1264	Tamworth Regional (A)	Tamworth	New England	Willis St	South Tamworth	2340	-31.105768	150.916936
8455	9349	Oxley High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	63	19	866.8	6766 1677	oxley-h.School@det.nsw.edu.au	6766 3937	Tamworth Regional (A)	Tamworth	New England	Piper St	North Tamworth	2340	-31.077903	150.939078
8525	9351	Peel High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	52	16	637.4	6765 7088	peel-h.School@det.nsw.edu.au	6765 3506	Tamworth Regional (A)	Tamworth	New England	88 Gunnedah Rd	Tamworth 	2340	-31.099764	150.89299
3425	9360	Werris Creek Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	7	4	108	6768 7065	werriscrk-p.School@det.nsw.edu.au	6768 7732	Liverpool Plains (A)	Tamworth	New England	68 Dewhurst Street	Werris Creek	2341	-31.348938	150.651466
1714	9361	Currabubula Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	1	34	6768 9010	currabubul-p.School@det.nsw.edu.au	6768 9014	Liverpool Plains (A)	Tamworth	New England	Bolton St	Currabubula 	2342	-31.262787	150.735709
1252	9362	Blackville Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	2	7	6747 4024	blackville-p.School@det.nsw.edu.au	6747 4100	Liverpool Plains (A)	Upper Hunter	New England	O'Neile St	Blackville 	2343	-31.64044	150.237489
3091	9365	Spring Ridge Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	2	32	6747 3855	springridg-p.School@det.nsw.edu.au	6747 3987	Liverpool Plains (A)	Upper Hunter	New England	Darby Rd	Spring Ridge 	2343	-31.392399	150.254649
3343	9366	Walhallow Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	3	10	6747 4717	walhallow-p.School@det.nsw.edu.au	6747 4800	Liverpool Plains (A)	Upper Hunter	New England	Mooki River	Caroona	2343	-31.39507	150.426226
3345	9367	Wallabadah Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	2	24	02 67 465 512	wallabadah-p.school@det.nsw.edu.au	02 67 465 700	Liverpool Plains (A)	Upper Hunter	New England	28 Martyn Street	Wallabadah	2343	-31.541044	150.828256
3947	9364	Quirindi Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	17	6	303	6746 1565	quirindi-p.School@det.nsw.edu.au	6746 2600	Liverpool Plains (A)	Upper Hunter	New England	Munro St	Quirindi 	2343	-31.497558	150.678035
8174	6410	Quirindi High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	33	13	393.4	6746 1177	quirindi-h.School@det.nsw.edu.au	6746 2648	Liverpool Plains (A)	Upper Hunter	New England	Hill St	Quirindi 	2343	-31.501631	150.680087
1802	9368	Duri Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	2	40	6768 0214	duri-p.School@det.nsw.edu.au	6768 0209	Tamworth Regional (A)	Tamworth	New England	Dungowan Rd	Duri 	2344	-31.221359	150.829939
1071	9369	Attunga Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	1	25	6769 5554	attunga-p.School@det.nsw.edu.au	6769 5690	Tamworth Regional (A)	Tamworth	New England	Railway St	Attunga 	2345	-30.930445	150.846575
7305	9370	Manilla Central School	Central/Community School	Comprehensive	Kinder to Year 12	N	Coed	23	14	334	6785 1184	manilla-c.School@det.nsw.edu.au	6785 2138	Tamworth Regional (A)	Tamworth	New England	Wilga Ave	Manilla 	2346	-30.750947	150.728435
1140	9371	Barraba Central School	Central/Community School	Comprehensive	Kinder to Year 12	N	Coed	16	11	179.2	6782 1104	barraba-c.School@det.nsw.edu.au	6782 1231	Tamworth Regional (A)	Tamworth	New England	Gotha St	Barraba 	2347	-30.38239	150.599478
1057	9372	Armidale City Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	22	6	424	6772 3420	armidalec-p.School@det.nsw.edu.au	6771 2262	Armidale Dumaresq (A)	Northern Tablelands	New England	Faulkner St	Armidale 	2350	-30.519501	151.664056
1058	9376	Drummond Memorial Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	15	7	135	6772 3736	drummondm-p.School@det.nsw.edu.au	6771 2275	Armidale Dumaresq (A)	Northern Tablelands	New England	250 Rusden Street	Armidale	2350	-30.511469	151.650715
1198	9374	Ben Venue Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	29	4	607	6772 4263	benvenue-p.School@det.nsw.edu.au	6771 2037	Armidale Dumaresq (A)	Northern Tablelands	New England	Erskine St	Armidale 	2350	-30.502884	151.67462
1547	9375	Chandler Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	0	19	6778 1335	chandler-p.School@det.nsw.edu.au	6778 1240	Armidale Dumaresq (A)	Northern Tablelands	New England	Grafton Rd	Wollomombi	2350	-30.518553	152.053551
2273	9377	Kellys Plains Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	2	29	026775 1253	kellysplan-p.school@det.nsw.edu.au	026775 1365	Armidale Dumaresq (A)	Northern Tablelands	New England	45-47 Kelly's Plains School Rd	Armidale	2350	-30.571911	151.636504
2494	9378	Martins Gully Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	8	3	166	6772 3314	martinsgul-p.School@det.nsw.edu.au	6771 2257	Armidale Dumaresq (A)	Northern Tablelands	New England	Bona Vista Rd	Armidale 	2350	-30.523938	151.637256
4478	8750	Newling Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	5	4	84	6772 1488	newling-p.School@det.nsw.edu.au	6771 2258	Armidale Dumaresq (A)	Northern Tablelands	New England	80 Chapel St	Armidale 	2350	-30.522917	151.677158
5680	23762	Thalgarrah Environmental Education Centre	Environmental Education Centre	Comprehensive	Environmental Education Centre (formerly Field Studies Centres)	N	Coed	1	2	NULL	6775 1736	thalgarrah-e.School@det.nsw.edu.au	6775 1681	Armidale Dumaresq (A)	Northern Tablelands	New England	Rockvale Rd	Armidale 	2350	-30.447933	151.82475
5696	16109	Sandon Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	12	6	246	6772 3349	sandon-p.School@det.nsw.edu.au	6772 9491	Armidale Dumaresq (A)	Northern Tablelands	New England	Erskine & Niagara Sts	Armidale 	2350	-30.497063	151.65599
8102	9373	Armidale High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	51	15	692	6776 7466	armidale-h.School@det.nsw.edu.au	6776 7424	Armidale Dumaresq (A)	Northern Tablelands	New England	Butler St	Armidale 	2350	-30.519371	151.650348
8492	6436	Duval High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	48	13	525.2	6772 1266	duval-h.School@det.nsw.edu.au	6771 1766	Armidale Dumaresq (A)	Northern Tablelands	New England	Crest Rd	Armidale 	2350	-30.494387	151.664264
2327	9381	Kootingal Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	10	4	180	6760 3332	kootingal-p.School@det.nsw.edu.au	6760 3064	Tamworth Regional (A)	Tamworth	New England	Denman Avenue	Kootingal	2352	-31.053487	151.053682
3221	9384	Tintinhull Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	3	81	6760 9273	tintinhull-p.School@det.nsw.edu.au	6760 9361	Tamworth Regional (A)	Tamworth	New England	85 Tintinhull Road	Kootingal 	2352	-31.085665	151.008427
2608	9383	Moonbi Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	1	57	6760 3151	moonbi-p.School@det.nsw.edu.au	6760 3871	Tamworth Regional (A)	Tamworth	New England	New England Hwy	Moonbi 	2353	-31.019752	151.073573
2286	9386	Kentucky Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	1	52	6778 7227	kentucky-p.School@det.nsw.edu.au	6778 7208	Uralla (A)	Northern Tablelands	New England	Noalimba Ave	Kentucky 	2354	-30.759618	151.449162
2748	9387	Niangala Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	1	7	6769 2254	niangala-p.School@det.nsw.edu.au	6769 2287	Tamworth Regional (A)	Tamworth	New England	Foster Street	Niangala 	2354	-31.298041	151.408619
2768	9388	Nowendoc Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	1	9	6777 0905	nowendoc-p.School@det.nsw.edu.au	6777 0947	Walcha (A)	Tamworth	New England	6090 Brackendale Road	Nowendoc	2354	-31.48295	151.71536
3340	6439	Walcha Central School	Central/Community School	Comprehensive	Kinder to Year 12	N	Coed	19	10	269	6777 2777	walcha-c.School@det.nsw.edu.au	6777 1009	Walcha (A)	Tamworth	New England	154E North St	Walcha 	2354	-30.981805	151.604194
3501	9389	Woolbrook Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	2	20	6777 5893	woolbrook-p.School@det.nsw.edu.au	6777 5917	Walcha (A)	Tamworth	New England	Church St	Woolbrook 	2354	-30.970234	151.344607
3547	9390	Yarrowitch Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	2	11	6777 7582	yarrowitch-p.School@det.nsw.edu.au	6777 7411	Walcha (A)	Tamworth	New England	Chandlers Rd	Yarrowitch 	2354	-31.25059	151.94821
1191	9380	Bendemeer Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	2	17	6769 6532	bendemeer-p.School@det.nsw.edu.au	6769 6400	Tamworth Regional (A)	Tamworth	New England	Charles St	Bendemeer 	2355	-30.886984	151.150991
2115	9391	Gwabegar Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	1	1	13	6843 6252	gwabegar-p.School@det.nsw.edu.au	6843 6287	Narrabri (A)	Barwon	Parkes	Chauvel St	Gwabegar 	2356	-30.611489	148.974999
1630	9392	Coonabarabran Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	15	8	305	6842 1771	coonabarab-p.School@det.nsw.edu.au	6842 2416	Warrumbungle Shire (A)	Barwon	Parkes	Cnr John St & Newell Hwy	Coonabarabran 	2357	-31.280039	149.282061
5732	24092	Warrumbungle National Park Environmental Education Centre	Environmental Education Centre	Comprehensive	Environmental Education Centre (formerly Field Studies Centres)	N	Coed	1	2	NULL	6825 4302	warrumbung-e.School@det.nsw.edu.au	6825 4304	Coonamble (A)	Barwon	Parkes	Warrumbungle National Park	Coonabarabran 	2357	-31.25459	148.981077
8347	6404	Coonabarabran High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	36	12	367.4	6842 1099	coonabarab-h.School@det.nsw.edu.au	6842 2267	Warrumbungle Shire (A)	Barwon	Parkes	Newell Hwy	Coonabarabran	2357	-31.283104	149.285117
2310	9393	Kingstown Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	2	35	6778 9131	kingstown-p.School@det.nsw.edu.au	6778 9122	Uralla (A)	Northern Tablelands	New England	Bundarra-Bendemeer Rd	Kingstown 	2358	-30.506681	151.116405
2983	9394	Rocky River Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	2	36	6778 4122	rockyriver-p.School@det.nsw.edu.au	6778 3019	Uralla (A)	Northern Tablelands	New England	Uralla-Bundarra Rd	Uralla 	2358	-30.612856	151.491788
3864	9395	Uralla Central School	Central/Community School	Comprehensive	Kinder to Year 12	N	Coed	25	9	328	6778 4204	uralla-c.School@det.nsw.edu.au	6778 5090	Uralla (A)	Northern Tablelands	New England	Park St	Uralla 	2358	-30.641511	151.494437
